[31m

ADXL345
Start time 00/01 10:13:05 am
Accel x	Accel y	Accel z
[39m-0.0195	0.0273	-1.0452
0.0000	0.0390	-1.0530
0.0039	0.0351	-1.0452
0.0000	0.0312	-1.0530
-0.0039	0.0429	-1.0569
0.0000	0.0390	-1.0647
0.0078	0.0390	-1.0647
0.0000	0.0390	-1.0569
0.0078	0.0390	-1.0569
0.0078	0.0390	-1.0686
-0.0039	0.0351	-1.0530
-0.0039	0.0312	-1.0452
-0.0078	0.0390	-1.0530
0.0039	0.0390	-1.0491
-0.0117	0.0351	-1.0569
-0.0078	0.0273	-1.0530
-0.0117	0.0312	-1.0647
-0.0078	0.0390	-1.0530
-0.0078	0.0312	-1.0452
-0.0039	0.0429	-1.0608
0.0117	0.0312	-1.0647
-0.0039	0.0390	-1.0764
0.0039	0.0234	-1.0530
0.0000	0.0429	-1.0530
-0.0156	0.0195	-1.0374
-0.0078	0.0468	-1.0686
-0.0117	0.0273	-1.0452
0.0234	0.0468	-1.0803
-0.0117	0.0585	-1.0803
-0.0078	0.0312	-1.0569
0.0117	0.0546	-1.0725
0.0000	0.0390	-1.0413
0.0039	0.0390	-1.0608
-0.0039	0.0351	-1.0413
0.0000	0.0312	-1.0530
0.0039	0.0273	-1.0569
0.0000	0.0312	-1.0491
0.0000	0.0351	-1.0530
0.0000	0.0351	-1.0569
0.0000	0.0351	-1.0608
0.0000	0.0390	-1.0569
0.0000	0.0390	-1.0569
0.0000	0.0312	-1.0569
0.0000	0.0351	-1.0569
0.0000	0.0390	-1.0569
0.0000	0.0390	-1.0530
0.0039	0.0390	-1.0608
0.0039	0.0312	-1.0569
0.0000	0.0390	-1.0608
0.0039	0.0351	-1.0647
0.0000	0.0351	-1.0530
0.0039	0.0390	-1.0608
0.0000	0.0429	-1.0569
0.0000	0.0351	-1.0608
0.0000	0.0312	-1.0530
0.0000	0.0390	-1.0491
0.0000	0.0351	-1.0569
0.0000	0.0390	-1.0530
0.0000	0.0351	-1.0608
-0.0039	0.0390	-1.0530
0.0000	0.0351	-1.0569
0.0000	0.0390	-1.0569
0.0039	0.0351	-1.0608
0.0000	0.0390	-1.0608
0.0000	0.0312	-1.0530
0.0000	0.0390	-1.0530
-0.0039	0.0351	-1.0569
0.0039	0.0351	-1.0569
0.0039	0.0429	-1.0647
0.0039	0.0390	-1.0569
0.0078	0.0312	-1.0530
0.0000	0.0351	-1.0569
0.0078	0.0429	-1.0686
-0.0078	0.0351	-1.0608
-0.0078	0.0312	-1.0452
0.0000	0.0312	-1.0725
0.0039	0.0429	-1.0686
0.0000	0.0351	-1.0491
0.0117	0.0468	-1.0686
0.0000	0.0390	-1.0452
0.0039	0.0351	-1.0530
0.0000	0.0312	-1.0686
0.0078	0.0507	-1.0725
0.0039	0.0468	-1.0608
0.0039	0.0429	-1.0530
-0.0195	0.0390	-1.0647
-0.0039	0.0390	-1.0686
0.0078	0.0390	-1.0647
-0.0078	0.0312	-1.0686
0.0000	0.0273	-1.0491
0.0039	0.0390	-1.0569
0.0117	0.0390	-1.0491
0.0000	0.0312	-1.0569
0.0000	0.0351	-1.0530
0.0000	0.0390	-1.0569
0.0000	0.0351	-1.0608
0.0039	0.0351	-1.0530
0.0000	0.0390	-1.0530
0.0000	0.0429	-1.0530
0.0039	0.0390	-1.0569
0.0039	0.0429	-1.0608
0.0000	0.0351	-1.0569
0.0039	0.0351	-1.0569
0.0039	0.0351	-1.0608
0.0039	0.0312	-1.0569
0.0039	0.0351	-1.0569
0.0000	0.0429	-1.0569
0.0039	0.0351	-1.0608
0.0039	0.0429	-1.0569
0.0000	0.0351	-1.0569
0.0078	0.0312	-1.0608
-0.0039	0.0351	-1.0569
0.0000	0.0351	-1.0569
0.0000	0.0468	-1.0647
0.0000	0.0390	-1.0608
0.0000	0.0351	-1.0608
0.0000	0.0507	-1.0569
0.0000	0.0390	-1.0530
-0.0117	0.0507	-1.0647
-0.0039	0.0429	-1.0530
0.0078	0.0429	-1.0608
0.0000	0.0351	-1.0686
0.0000	0.0351	-1.0491
0.0039	0.0429	-1.0686
0.0000	0.0468	-1.0647
-0.0078	0.0351	-1.0530
0.0078	0.0390	-1.0647
0.0039	0.0351	-1.0686
0.0039	0.0351	-1.0725
-0.0195	0.0312	-1.0647
-0.0156	0.0312	-1.0452
0.0039	0.0312	-1.0764
-0.0117	0.0234	-1.0374
0.0039	0.0507	-1.0725
-0.0078	0.0390	-1.0491
-0.0195	0.0273	-1.0608
0.0000	0.0273	-1.0491
0.0117	0.0351	-1.0803
0.0117	0.0585	-1.0764
0.0156	0.0390	-1.0725
0.0039	0.0429	-1.0647
0.0039	0.0351	-1.0569
0.0000	0.0351	-1.0569
0.0000	0.0351	-1.0530
0.0039	0.0429	-1.0569
0.0000	0.0351	-1.0530
0.0000	0.0351	-1.0569
0.0039	0.0351	-1.0530
0.0039	0.0351	-1.0530
0.0000	0.0351	-1.0530
0.0039	0.0312	-1.0530
0.0039	0.0351	-1.0569
0.0000	0.0351	-1.0608
0.0000	0.0351	-1.0530
0.0039	0.0351	-1.0608
0.0039	0.0390	-1.0569
0.0039	0.0390	-1.0608
0.0000	0.0390	-1.0530
0.0000	0.0351	-1.0530
0.0000	0.0351	-1.0491
0.0000	0.0351	-1.0608
0.0000	0.0351	-1.0608
0.0039	0.0351	-1.0608
0.0000	0.0351	-1.0608
0.0000	0.0351	-1.0569
0.0039	0.0351	-1.0530
-0.0039	0.0351	-1.0530
0.0000	0.0390	-1.0530
-0.0039	0.0312	-1.0491
0.0039	0.0390	-1.0647
0.0078	0.0429	-1.0647
0.0039	0.0429	-1.0647
0.0000	0.0351	-1.0569
0.0039	0.0429	-1.0647
0.0039	0.0351	-1.0569
0.0039	0.0351	-1.0647
0.0039	0.0312	-1.0569
0.0039	0.0351	-1.0530
0.0078	0.0351	-1.0608
0.0078	0.0351	-1.0491
-0.0039	0.0390	-1.0608
0.0078	0.0390	-1.0725
0.0078	0.0390	-1.0569
0.0000	0.0351	-1.0686
-0.0078	0.0390	-1.0569
-0.0039	0.0390	-1.0530
0.0117	0.0429	-1.0608
0.0000	0.0312	-1.0608
0.0117	0.0351	-1.0725
0.0078	0.0429	-1.0803
0.0000	0.0390	-1.0647
0.0000	0.0390	-1.0569
0.0078	0.0429	-1.0686
0.0039	0.0390	-1.0608
0.0000	0.0351	-1.0569
0.0000	0.0351	-1.0569
0.0039	0.0351	-1.0530
0.0039	0.0390	-1.0608
0.0039	0.0351	-1.0569
0.0039	0.0429	-1.0569
0.0039	0.0351	-1.0569
0.0000	0.0351	-1.0569
0.0039	0.0390	-1.0569
0.0039	0.0351	-1.0569
0.0000	0.0312	-1.0608
0.0000	0.0351	-1.0530
0.0039	0.0312	-1.0530
0.0039	0.0312	-1.0530
0.0039	0.0351	-1.0608
0.0000	0.0351	-1.0569
0.0000	0.0390	-1.0569
0.0000	0.0312	-1.0569
0.0000	0.0390	-1.0569
0.0039	0.0312	-1.0608
0.0000	0.0390	-1.0608
0.0078	0.0390	-1.0647
0.0039	0.0390	-1.0608
0.0039	0.0351	-1.0647
0.0000	0.0390	-1.0608
0.0039	0.0390	-1.0647
0.0039	0.0390	-1.0608
0.0000	0.0351	-1.0647
0.0000	0.0390	-1.0608
0.0000	0.0390	-1.0608
0.0000	0.0312	-1.0491
0.0039	0.0351	-1.0452
0.0039	0.0351	-1.0491
0.0039	0.0351	-1.0569
0.0039	0.0351	-1.0569
0.0000	0.0390	-1.0569
-0.0078	0.0390	-1.0725
0.0000	0.0390	-1.0491
0.0000	0.0351	-1.0569
0.0039	0.0468	-1.0725
0.0078	0.0429	-1.0647
0.0039	0.0351	-1.0647
0.0156	0.0312	-1.0647
0.0117	0.0429	-1.0686
-0.0078	0.0351	-1.0608
0.0117	0.0351	-1.0608
0.0000	0.0351	-1.0569
0.0039	0.0351	-1.0569
0.0000	0.0390	-1.0569
0.0039	0.0351	-1.0569
0.0039	0.0351	-1.0530
0.0039	0.0390	-1.0530
0.0000	0.0351	-1.0608
0.0000	0.0390	-1.0608
0.0039	0.0351	-1.0608
0.0039	0.0390	-1.0569
0.0000	0.0390	-1.0608
0.0039	0.0390	-1.0569
0.0039	0.0390	-1.0569
0.0000	0.0351	-1.0569
0.0000	0.0351	-1.0569
0.0039	0.0312	-1.0569
0.0000	0.0390	-1.0530
0.0000	0.0351	-1.0647
0.0000	0.0390	-1.0608
0.0000	0.0312	-1.0608
0.0000	0.0390	-1.0608
0.0039	0.0351	-1.0530
0.0039	0.0351	-1.0530
0.0039	0.0351	-1.0647
0.0000	0.0390	-1.0608
0.0039	0.0351	-1.0491
-0.0039	0.0390	-1.0569
0.0000	0.0390	-1.0647
-0.0039	0.0390	-1.0647
0.0000	0.0351	-1.0569
0.0117	0.0351	-1.0569
0.0078	0.0351	-1.0530
-0.0039	0.0390	-1.0569
0.0078	0.0429	-1.0647
0.0000	0.0351	-1.0569
0.0000	0.0390	-1.0686
-0.0039	0.0429	-1.0608
0.0000	0.0390	-1.0647
0.0039	0.0429	-1.0647
-0.0117	0.0312	-1.0647
0.0000	0.0351	-1.0686
0.0117	0.0546	-1.0881
0.0039	0.0546	-1.0569
0.0078	0.0390	-1.0881
-0.0234	0.0351	-1.0530
-0.0156	0.0312	-1.0491
0.0039	0.0390	-1.0608
0.0039	0.0351	-1.0530
0.0000	0.0390	-1.0569
0.0000	0.0351	-1.0569
0.0000	0.0351	-1.0530
0.0039	0.0351	-1.0569
0.0000	0.0351	-1.0608
0.0000	0.0351	-1.0569
0.0000	0.0351	-1.0608
0.0000	0.0351	-1.0569
0.0000	0.0351	-1.0569
0.0000	0.0312	-1.0569
0.0000	0.0390	-1.0569
0.0000	0.0312	-1.0608
0.0039	0.0351	-1.0608
0.0039	0.0351	-1.0530
0.0039	0.0351	-1.0569
0.0000	0.0351	-1.0530
0.0000	0.0351	-1.0608
0.0039	0.0351	-1.0530
0.0000	0.0351	-1.0608
